"Description: ","Annual number of days when TM >= 10 Â°C"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tmge10, normalised (all years)
1936, 363, 0.2637155349999
1937, 363, 0.2637155349999
1938, 355, -2.66028829166568
1939, 356, -2.29478781333248
1940, 364, 0.629216013333097
1941, 363, 0.2637155349999
1942, 361, -0.467285421666495
1943, 350, -4.48779068333166
1944, 357, -1.92928733499928
1945, 359, -1.19828637833289
1946, 363, 0.2637155349999
1947, 359, -1.19828637833289
1948, 360, -0.832785899999692
1949, 358, -1.56378685666609
1950, 364, 0.629216013333097
1951, 363, 0.2637155349999
1952, 363, 0.2637155349999
1953, 363, 0.2637155349999
1954, 363, 0.2637155349999
1955, 363, 0.2637155349999
1956, 361, -0.467285421666495
1957, 362, -0.101784943333297
1958, 357, -1.92928733499928
1959, 364, 0.629216013333097
1960, 362, -0.101784943333297
1961, 361, -0.467285421666495
1962, 363, 0.2637155349999
1963, 363, 0.2637155349999
1964, 365, 0.994716491666294
1965, 359, -1.19828637833289
1966, 362, -0.101784943333297
1967, 363, 0.2637155349999
1968, 361, -0.467285421666495
1969, 364, 0.629216013333097
1970, 362, -0.101784943333297
1971, 361, -0.467285421666495
1972, 364, 0.629216013333097
1973, 362, -0.101784943333297
1974, 361, -0.467285421666495
1975, 363, 0.2637155349999
1976, 365, 0.994716491666294
1977, 363, 0.2637155349999
1978, 362, -0.101784943333297
1979, 363, 0.2637155349999
1980, 363, 0.2637155349999
1981, 362, -0.101784943333297
1982, 360, -0.832785899999692
1983, 361, -0.467285421666495
1984, 360, -0.832785899999692
1985, 364, 0.629216013333097
1986, 358, -1.56378685666609
1987, 363, 0.2637155349999
1988, 364, 0.629216013333097
1989, 362, -0.101784943333297
1990, 364, 0.629216013333097
1991, 362, -0.101784943333297
1992, 365, 0.994716491666294
1993, 363, 0.2637155349999
1994, 363, 0.2637155349999
1995, 358, -1.56378685666609
1996, -99.9, -99.9
1997, 364, 0.629216013333097
1998, 365, 0.994716491666294
1999, 365, 0.994716491666294
2000, 365, 0.994716491666294
2001, 365, 0.994716491666294
2002, 364, 0.629216013333097
2003, 365, 0.994716491666294
2004, 365, 0.994716491666294
2005, 365, 0.994716491666294
2006, 365, 0.994716491666294
2007, 364, 0.629216013333097
2008, 366, 1.36021696999949
2009, 363, 0.2637155349999
2010, 361, -0.467285421666495
2011, 364, 0.629216013333097
2012, 366, 1.36021696999949
2013, 365, 0.994716491666294
2014, 364, 0.629216013333097
2015, 364, 0.629216013333097
